RecID,attrNr,label,exists-1,exists-2,exists-3,exists-4,exists-5
10002,7,1,0,1,0,0,0
10003,2,0,0,1,0,0,0
10006,2,0,0,1,0,0,0
10007,7,0,0,1,0,0,0
10008,3,0,0,1,0,0,0
10010,3,0,0,1,0,0,0
10010,6,1,1,1,0,0,0
10020,4,1,0,1,0,0,0
10027,3,0,0,1,0,0,0
10028,3,0,0,1,0,0,0
10032,9,0,0,1,0,0,0
10033,3,0,0,1,0,0,0
10036,3,0,0,1,0,0,0
10039,6,0,0,1,0,0,0
1004,5,1,0,1,0,0,0
10041,5,1,0,1,0,0,0
10046,4,1,0,1,0,0,0
10047,3,0,0,1,0,0,0
1005,6,1,1,1,0,0,0
10050,9,0,0,1,0,0,0
10056,9,0,0,1,1,0,0
1006,6,1,1,1,0,0,0
10062,8,1,0,1,0,0,0
10063,2,0,0,1,0,0,0
10067,4,1,0,1,0,0,0
10067,6,1,1,1,0,0,0
10086,3,0,0,1,0,0,1
1009,3,0,0,1,0,0,0
10093,4,1,1,1,0,0,0
10095,3,0,0,1,0,0,1
10095,7,1,0,1,0,0,0
1010,4,1,1,1,0,0,0
10108,7,1,0,1,0,0,0
10109,4,1,0,1,0,0,0
10113,6,1,1,1,0,0,0
10117,5,1,0,1,0,0,0
10118,3,0,0,1,0,0,0
10118,7,1,1,1,0,0,0
1012,9,0,0,1,0,0,0
10121,4,0,0,1,0,0,0
10125,6,1,1,1,0,0,0
10126,7,1,0,1,0,0,0
10128,4,1,0,1,0,0,0
10129,2,0,0,1,0,0,0
10134,8,0,1,1,1,0,0
10135,7,1,0,1,0,0,0
10136,8,0,1,1,1,0,0
10139,7,1,0,1,0,0,0
10143,2,0,0,1,0,0,0
10144,2,0,0,1,0,0,0
10144,5,0,0,1,0,0,0
10150,6,1,1,1,0,0,0
10150,7,1,0,1,0,0,0
10151,9,1,1,1,0,0,0
10160,7,1,1,1,0,0,0
10161,2,0,0,1,0,0,0
10165,5,1,0,1,0,0,0
10170,3,0,0,1,0,0,0
10171,7,1,1,1,0,0,0
10186,2,0,0,1,0,0,0
10186,7,1,0,1,0,0,0
10188,8,1,1,1,1,0,0
10190,6,1,1,1,0,0,0
10198,7,1,0,1,0,0,0
102,8,1,0,1,0,0,0
1020,5,1,0,1,0,0,0
10206,6,1,0,1,0,0,0
10209,7,1,0,1,0,0,0
10216,9,1,1,1,0,0,0
10230,5,1,0,1,0,0,0
10230,8,0,0,1,0,0,0
