id,vid,tupleid,tablename,attribute,oldvalue,newvalue,time
1,203404,12845,TB_FLIGHTS_DIRTY,actualdeparture,'5:12 PMDec 07','5:00 PMDec 31',2017-10-16 15:55:10.560498
2,61473,55050,TB_FLIGHTS_DIRTY,actualdeparture,'12/27/11 5:00 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
3,209950,15147,TB_FLIGHTS_DIRTY,actualdeparture,'December 8  2011               05:05 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
4,142000,40587,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-19 04:44 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
5,204283,62607,TB_FLIGHTS_DIRTY,actualdeparture,'5:14 PMDec 30','5:00 PMDec 31',2017-10-16 15:55:14.939421
6,199685,69697,TB_FLIGHTS_DIRTY,actualdeparture,'5:08 PMJan 02','5:00 PMDec 31',2017-10-16 15:55:14.939421
7,120583,22520,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-11 05:25 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
8,194076,43073,TB_FLIGHTS_DIRTY,actualdeparture,'5:05 PMDec 20','5:00 PMDec 31',2017-10-16 15:55:14.939421
9,19004,20251,TB_FLIGHTS_DIRTY,actualdeparture,'12/10/11 5:01 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
10,152300,48111,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-24 4:52 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
11,206381,25072,TB_FLIGHTS_DIRTY,actualdeparture,'5:21pDec 12','5:00 PMDec 31',2017-10-16 15:55:14.939421
12,15275,283,TB_FLIGHTS_DIRTY,actualdeparture,'12/1/11 5:09 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
13,95771,5406,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-03 05:11 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
14,208604,72084,TB_FLIGHTS_DIRTY,actualdeparture,'5:32 PMJan 03','5:00 PMDec 31',2017-10-16 15:55:14.939421
15,29370,30058,TB_FLIGHTS_DIRTY,actualdeparture,'12/14/11 6:45 PM (-05:00)','5:00 PMDec 31',2017-10-16 15:55:14.939421
16,162690,60102,TB_FLIGHTS_DIRTY,actualdeparture,'2011-12-29 04:48 PM','5:00 PMDec 31',2017-10-16 15:55:14.939421
