"oid","prno","hospitalname","address","city","state","zip","countryname","phone","hospitaltype","hospitalowner","emergencyservice","condition","mc","measurename","score","sample","stateavg"
"1","10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-CARD-2","surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery","","","AL_SCIP-CARD-2"
"4","10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-1","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","","","AL_SCIP-INF-3"
"8","10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","20532581a00","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-1","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","","","AL_SCIP-VTE-2"
"10","10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","92%","13 patients","AL_AMI-2"
"11","10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35233","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-3","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75%","4 patients","AL_AMI-3"
"12","10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-4","Heart Attack Patients Given Smoking Cessation Advice/Counseling","100%","4 patients","AL_AMI-4"
"14","10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563846556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-7A","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","","0 patients","AL_AMI-7A"
"15","10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864565","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-8A","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","","0 patients","AL_AMI-8A"
"19","10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Failure","HF-4","Heart Failure Patients Given Smoking Cessation Advice/Counseling","100%","41 patients","AL_HF-4"
"20","10001","SOUTHEAST ALABAMA MEDICAL CENTER","4370 WEST MAIN STREET","DOTHAN","AL","35233","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-1","Heart Attack Patients Given Aspirin at Arrival","98%","270 patients","AL_AMI-1"
"21","10001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","35233","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","99%","516 patients","AL_AMI-2"
"25","10001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36302","HOUSTON","a3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-7A","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","","0 patients","AL_AMI-7A"
"28","10001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","35233","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Failure","AMI-3","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","99%","514 patients","AL_HF-2"
"31","10001","SOUTHEAST ALABAMA MEDICAL CENTER","4370 WEST MAIN STREET","DOTHAN","AL","35233","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Pneumonia","AMI-5","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","93%","191 patients","AL_PN-2"
"32","10001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36302","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Pneumonia","PN-3B","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","89%","125 patients","AL_PN-3B"
"33","10001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36302","HOUSTON","334793801","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Pneumonia","AMI-1","Pneumonia Patients Given Smoking Cessation Advice/Counseling","99%","107 patients","AL_PN-4"
"35","10001","SOUTHEAST ALABAMA MEDICAL CENTER","4370 WEST MAIN STREET","DOTHAN","AL","35233","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Pneumonia","AMI-2","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","80%","147 patients","AL_PN-6"
"38","10001","SOUTHEAST ALABAMA MEDICAL CENTER","4370 WEST MAIN STREET","DOTHAN","AL","36302","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Surgical Infection Prevention","AMI-2","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","94%","399 patients","AL_SCIP-INF-1"
"41","10001","SOUTHEAST ALABAMA MEDICAL CENTER","4370 WEST MAIN STREET","DOTHAN","AL","35660","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Surgical Infection Prevention","AMI-1","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","96%","136 patients","AL_SCIP-INF-4"
"47","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35660","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-3","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","100%","2 patients","AL_AMI-3"
"48","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-4","Heart Attack Patients Given Smoking Cessation Advice/Counseling","","0 patients","AL_AMI-4"
"49","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","2m565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-5","Heart Attack Patients Given Beta Blocker at Discharge","100%","5 patients","AL_AMI-5"
"51","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35233","MARSHALL","2569538310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-8A","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","","0 patients","AL_AMI-8A"
"52","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35233","MARSHALL","256f5938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Failure","AMI-1","Heart Failure Patients Given Discharge Instructions","78%","110 patients","AL_HF-1"
"54","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Failure","AMI-2","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","90%","69 patients","AL_HF-3"
"58","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","2556938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Pneumonia","AMI-4","Pneumonia Patients Given Smoking Cessation Advice/Counseling","97%","98 patients","AL_PN-4"
"60","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Pneumonia","AMI-7A","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","92%","175 patients","AL_PN-6"
"64","10005","MARSHALL MEDICAL CENTER SOUTH","1720 UNIVERSITY BLVD","BOAZ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Surgical Infection Prevention","AMI-1","surgery patients who were given the  right kind  of antibiotic to help prevent infection","93%","167 patients","AL_SCIP-INF-2"
"66","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Surgical Infection Prevention","AMI-7A","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","","0 patients","AL_SCIP-INF-4"
"67","10005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35233","MARSHALL","565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Surgical Infection Prevention","AMI-7A","surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)","100%","237 patients","AL_SCIP-INF-6"
