"oid","prno","hospitalname","address","city","state","zip","countryname","phone","hospitaltype","hospitalowner","emergencyservice","condition","mc","measurename","score","sample","stateavg"
1,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-CARD-2","surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery","","","AL_SCIP-CARD-2"
2,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-1","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","","","AL_SCIP-INF-1"
3,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-2","surgery patients who were given the  right kind  of antibiotic to help prevent infection","","","AL_SCIP-INF-2"
4,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-3","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","","","AL_SCIP-INF-3"
5,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-4","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","","","AL_SCIP-INF-4"
6,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-INF-6","surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)","","","AL_SCIP-INF-6"
7,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-VTE-1","surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","","","AL_SCIP-VTE-1"
8,"10018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Surgical Infection Prevention","SCIP-VTE-2","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","","","AL_SCIP-VTE-2"
9,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-1","Heart Attack Patients Given Aspirin at Arrival","97%","33 patients","AL_AMI-1"
10,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-2","Heart Attack Patients Given Aspirin at Discharge","92%","13 patients","AL_AMI-2"
11,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-3","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","75%","4 patients","AL_AMI-3"
12,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-4","Heart Attack Patients Given Smoking Cessation Advice/Counseling","100%","4 patients","AL_AMI-4"
13,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-5","Heart Attack Patients Given Beta Blocker at Discharge","86%","14 patients","AL_AMI-5"
14,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-7A","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","","0 patients","AL_AMI-7A"
15,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Attack","AMI-8A","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","","0 patients","AL_AMI-8A"
16,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Failure","HF-1","Heart Failure Patients Given Discharge Instructions","80%","114 patients","AL_HF-1"
17,"10019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","JEFFERSON","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Heart Failure","HF-2","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","99%","149 patients","AL_HF-2"
