"oid","prno","ismismatched_prno","zip","ismismatched_zip","phone","ismismatched_phone"
"8","10018","false","35233","false","20532581a00","true"
"25","10001","false","36302","false","a3347938701","true"
"33","10001","false","36302","false","334793801","true"
"49","10005","false","35957","false","2m565938310","true"
"52","10005","false","35233","false","256f5938310","true"
"66","10005","false","35957","false","565938310","true"
"67","10005","false","35233","false","565938310","true"
"68","10005","false","35957","false","g2565938310","true"
"73","10006","false","35631","false","256688400","true"
"78","10006","false","35660","false","2567688400***","true"
"82","10006","false","35631","false","256768840h0","true"
"84","10006","false","35233","false","25676p88400","true"
"86","10006","false","35631","false","256768840q0","true"
"87","10006","false","35631","false","256688400","true"
"88","10006","false","35233","false","267688400","true"
"89","10006","false","35631","false","j2567688400","true"
"94","10006","false","35631","false","256788400","true"
"99","10007","false","35660","false","344933541","true"
"108","10007","false","36467","false","3344933541***","true"
"110","10007","false","36467","false","334933541","true"
"111","10007","false","36467","false","334493541","true"
"113","10007","false","36467","false","3344933541***","true"
"123","10008","false","35660","false","334353374","true"
"127","10008","false","35233","false","343353374","true"
"128","10008","false","36049","false","334335374","true"
"131","10008","false","36049","false","3343353374***","true"
"133","10008","false","36049","false","3343353374***","true"
"139","10008","false","35233","false","334335334","true"
"147","10009","false","35640","false","256736511","true"
"151","10009","false","35640","false","2567736e511","true"
"158","10009","false","35640","false","25677m36511","true"
"163","10009","false","35640","false","256773651","true"
"168","10009","false","35233","false","256773651","true"
"170","10010","false","35233","false","265718000","true"
"174","10010","false","35233","false","565718000","true"
"176","10010","false","35233","false","256g5718000","true"
"181","10010","false","35233","false","565718000","true"
"184","10010","false","35976","false","265718000","true"
"186","10010","false","35976","false","256571o8000","true"
"187","10010","false","35976","false","565718000","true"
"189","10010","false","35233","false","2565718000***","true"
"191","10010","false","35976","false","2565g718000","true"
"194","10010","false","35233","false","2565718v000","true"
"199","10011","false","35235","false","q2058383122","true"
"208","10011","false","35235","false","205838122","true"
"209","10011","false","35235","false","2b058383122","true"
"211","10011","false","35235","false","205838122","true"
"212","10011","false","35235","false","208383122","true"
"219","10011","false","35235","false","205833122","true"
"226","10012","false","35233","false","256845150","true"
"233","10012","false","35233","false","256843150","true"
"234","10012","false","35233","false","256845b3150","true"
"241","10012","false","35968","false","s2568453150","true"
"249","10015","false","36784","false","334636621","true"
"255","10015","false","35233","false","3346a366221","true"
"258","10015","false","36784","false","334366221","true"
"260","10015","false","36784","false","3346366a221","true"
"261","10015","false","36784","false","3346366221***","true"
"265","10015","false","36784","false","334636w6221","true"
"267","10015","false","35233","false","3346366221***","true"
"277","10016","false","35233","false","205620800","true"
"278","10016","false","35007","false","n2056208100","true"
"279","10016","false","35660","false","205208100","true"
"288","10016","false","35007","false","205u6208100","true"
"290","10016","false","35233","false","205620810q0","true"
"294","10016","false","35007","false","205620810","true"
"300","10018","false","35233","false","253258100","true"
"302","10018","false","35233","false","0253258100","true"
"307","10018","false","35233","false","205325810","true"
"309","10018","false","35233","false","0253258100","true"
"311","10018","false","35233","false","203258100","true"
"316","10038","false","36201","false","25623589w00","true"
"321","10038","false","36201","false","2562358900***","true"
"338","10055","false","36305","false","334793500i0","true"
"340","10055","false","36305","false","3347935000***","true"
"350","10056","false","35205","false","205939700","true"
"356","10086","false","35233","false","254877736","true"
"357","10086","false","35594","false","205487736","true"
"358","10086","false","35233","false","2054877736***","true"
"364","10086","false","35594","false","054877736","true"
"390","10087","false","36617","false","2514717110***","true"
"399","10108","false","36067","false","33436a14267","true"
"404","10108","false","35233","false","3343d614267","true"
"406","10108","false","36067","false","3343p614267","true"
"411","10108","false","35233","false","334361267","true"
"416","10164","false","35150","false","256245000","true"
"418","10164","false","35660","false","25624d95000","true"
"423","10164","false","35660","false","j2562495000","true"
"425","10164","false","35233","false","25p62495000","true"
"427","10164","false","35150","false","256249500","true"
"428","10164","false","35150","false","2562495000***","true"
"432","10164","false","35150","false","2562495c000","true"
"453","10019","false","35660","false","25638645q56","true"
"473","10021","false","36360","false","334774260u1","true"
"481","10021","false","36360","false","334774261","true"
"485","10021","false","36360","false","3347y742601","true"
"499","10022","false","35960","false","256975531","true"
"510","10022","false","35233","false","256927o5531","true"
"511","10022","false","35960","false","25l69275531","true"
"512","10022","false","35233","false","2569275531***","true"
"513","10022","false","35960","false","256975531","true"
"514","10022","false","35960","false","256275531","true"
"539","10023","false","36116","false","33428q82100","true"
"540","10023","false","36116","false","342882100","true"
"549","10024","false","36106","false","334293800a0","true"
"550","10024","false","36106","false","3j342938000","true"
"554","10024","false","36106","false","334938000","true"
"556","10024","false","36106","false","334293000","true"
"557","10024","false","36106","false","3342938000***","true"
"558","10024","false","36106","false","3342938000***","true"
"560","10024","false","36106","false","3b342938000","true"
"568","10025","false","36854","false","334756400","true"
"575","10025","false","35660","false","347561400","true"
"577","10025","false","36854","false","334756140","true"
"583","10025","false","36854","false","3347561400***","true"
"584","10025","false","35233","false","3347561400***","true"
"585","10025","false","35233","false","334756400","true"
"587","10025","false","35233","false","o3347561400","true"
"589","10025","false","36854","false","334756140","true"
"596","10027","false","36323","false","334897257","true"
"605","10027","false","36323","false","334872257","true"
"607","10027","false","36323","false","334892257","true"
"609","10027","false","36323","false","k3348972257","true"
"610","10027","false","36323","false","338972257","true"
"615","10027","false","36323","false","334897257","true"
"622","10029","false","36801","false","334743411","true"
"624","10029","false","36801","false","334749411","true"
"634","10029","false","36801","false","33474934g11","true"
"639","10029","false","36801","false","334493411","true"
"643","10032","false","36278","false","2r563572111","true"
"645","10032","false","36278","false","253572111","true"
"650","10032","false","36278","false","2563572s111","true"
"655","10032","false","36278","false","2563572111***","true"
"657","10032","false","36278","false","256372111","true"
"662","10032","false","36278","false","256357211","true"
"663","10032","false","36278","false","256572111","true"
"697","10034","false","36078","false","33428f36541","true"
"698","10034","false","36078","false","334286541","true"
"702","10034","false","36078","false","33l42836541","true"
"706","10034","false","36078","false","334283641","true"
"732","10035","false","35058","false","25673y72000","true"
"709","10034","false","36078","false","3342836o541","true"
"713","10034","false","36078","false","3342836r541","true"
"715","10034","false","36078","false","342836541","true"
"724","10035","false","35058","false","256737200","true"
"727","10035","false","35058","false","567372000","true"
"730","10035","false","35058","false","2567372000***","true"
"733","10035","false","35058","false","2567f372000","true"
"736","10035","false","35058","false","256737v2000","true"
"739","10035","false","35058","false","25673720q00","true"
"744","10036","false","36420","false","334228466","true"
"748","10036","false","36420","false","334222846e6","true"
"750","10036","false","36420","false","3342228466***","true"
"760","10036","false","36420","false","334228466","true"
"761","10036","false","36420","false","33q42228466","true"
"763","10036","false","36420","false","y3342228466","true"
"765","10036","false","36420","false","334222846s6","true"
"772","10038","false","36201","false","256238900","true"
"774","10038","false","36201","false","256235900","true"
"786","10039","false","35801","false","2562h651000","true"
"787","10039","false","35801","false","256265100","true"
"791","10039","false","35801","false","262651000","true"
"792","10039","false","35801","false","256265x1000","true"
"794","10039","false","35801","false","256265100","true"
"795","10039","false","35801","false","256261000","true"
"800","10039","false","35801","false","256265100m0","true"
"802","10039","false","35801","false","562651000","true"
"807","10040","false","35903","false","264944000","true"
"812","10040","false","35903","false","256494s4000","true"
"813","10040","false","35903","false","256444000","true"
"815","10040","false","35903","false","z2564944000","true"
"816","10040","false","35903","false","564944000","true"
"822","10040","false","35903","false","256944000","true"
"824","10040","false","35903","false","256494400","true"
"826","10040","false","35903","false","25649f44000","true"
"834","10043","false","35045","false","207552500","true"
"836","10043","false","35045","false","205755z2500","true"
"842","10043","false","35045","false","2057z552500","true"
"846","10043","false","35045","false","s2057552500","true"
"847","10043","false","35045","false","2057552500***","true"
"851","10043","false","35045","false","2057552500***","true"
"855","10044","false","35570","false","205f9216200","true"
"863","10044","false","35570","false","205216200","true"
"867","10044","false","35570","false","2c059216200","true"
"871","10044","false","35570","false","2s059216200","true"
"873","10044","false","35570","false","p2059216200","true"
"876","10044","false","35570","false","2059216o200","true"
"882","10045","false","35555","false","20593259m66","true"
"887","10045","false","35555","false","209325966","true"
"891","10045","false","35555","false","2y059325966","true"
"896","10045","false","35555","false","205932j5966","true"
"898","10045","false","35555","false","20593259e66","true"
"900","10045","false","35555","false","205932x5966","true"
"907","10046","false","35901","false","2565435e200","true"
"912","10046","false","35901","false","25e65435200","true"
"921","10046","false","35901","false","256545200","true"
"922","10046","false","35901","false","25z65435200","true"
"924","10046","false","35901","false","25a65435200","true"
"925","10046","false","35901","false","256435200","true"
"926","10046","false","35901","false","256543500","true"
"937","10047","false","36033","false","334376205","true"
"942","10047","false","36033","false","343762205","true"
"943","10047","false","36033","false","3m343762205","true"
"946","10047","false","36033","false","3343762205***","true"
"947","10047","false","36033","false","33437622h05","true"
"948","10047","false","36033","false","343762205","true"
"953","10047","false","36033","false","3343762205***","true"
"958","10049","false","36330","false","3343470584***","true"
"959","10049","false","36330","false","3n343470584","true"
"967","10049","false","36330","false","334470584","true"
"968","10049","false","36330","false","3343u470584","true"
"970","10049","false","36330","false","3f343470584","true"
"976","10049","false","36330","false","33434705u84","true"
"979","10049","false","36330","false","334347058r4","true"
"993","10050","false","35121","false","20n52743000","true"
"998","10050","false","35121","false","2z052743000","true"
"1005","10050","false","35121","false","202743000","true"
"1013","10051","false","35462","false","203723388","true"
"1018","10051","false","35462","false","f2053723388","true"
"1019","10051","false","35462","false","2053j723388","true"
"1020","10051","false","35462","false","2053723w388","true"
"1024","10051","false","35462","false","205372338","true"
"1025","10051","false","35462","false","205372n3388","true"
"1027","10051","false","35462","false","2053f723388","true"
"1029","10051","false","35462","false","20537233u88","true"
"1030","10051","false","35462","false","205372d3388","true"
"1034","10052","false","36853","false","568257821","true"
"1038","10052","false","36853","false","2r568257821","true"
"1043","10052","false","36853","false","268257821","true"
"1044","10052","false","36853","false","2568i257821","true"
"1045","10052","false","36853","false","256257821","true"
"1046","10052","false","36853","false","25682f57821","true"
"1047","10052","false","36853","false","256257821","true"
"1050","10052","false","36853","false","256825781","true"
"1051","10052","false","36853","false","25682578r21","true"
"1053","10052","false","36853","false","25682r57821","true"
"1060","10054","false","35601","false","25635o02211","true"
"1061","10054","false","35601","false","253502211","true"
"1070","10054","false","35601","false","2s563502211","true"
"1071","10054","false","35601","false","563502211","true"
"1075","10054","false","35601","false","2563502211***","true"
"1078","10054","false","35601","false","2563502n211","true"
"1080","10054","false","35601","false","256502211","true"
"1083","10055","false","36305","false","337935000","true"
"1087","10055","false","36305","false","3347935000***","true"
"1099","10056","false","35205","false","2d059397000","true"
"1115","10058","false","35042","false","20592c64881","true"
"1120","10058","false","35042","false","205924881","true"
"1122","10058","false","35042","false","209264881","true"
"1124","10058","false","35042","false","2v059264881","true"
"1125","10058","false","35042","false","205264881","true"
"1129","10058","false","35042","false","2y059264881","true"
"1130","10058","false","35042","false","0259264881","true"
"1131","10058","false","35042","false","0259264881","true"
"1132","10058","false","35042","false","205924881","true"
"1136","10059","false","35650","false","269742200","true"
"1139","10059","false","35650","false","25i69742200","true"
"1140","10059","false","35650","false","2x569742200","true"
"1142","10059","false","35650","false","2569742200***","true"
"1143","10059","false","35650","false","25697x42200","true"
"1148","10059","false","35650","false","2569o742200","true"
"1151","10059","false","35650","false","25697x42200","true"
"1152","10059","false","35650","false","569742200","true"
"1156","10059","false","35650","false","256974220","true"
"1157","10059","false","35650","false","569742200","true"
"1158","10059","false","35650","false","256942200","true"
"1163","10061","false","35768","false","2m562594444","true"
"1164","10061","false","35768","false","256259444","true"
"1165","10061","false","35768","false","2562594p444","true"
"1166","10061","false","35768","false","2562594444***","true"
"1167","10061","false","35768","false","c2562594444","true"
"1174","10061","false","35768","false","252594444","true"
"1175","10061","false","35768","false","256259444","true"
"1178","10061","false","35768","false","256254444","true"
"1179","10061","false","35768","false","2q562594444","true"
"1180","10061","false","35768","false","256259o4444","true"
"1183","10061","false","35768","false","256259w4444","true"
"1189","10062","false","36340","false","33468436b55","true"
"1192","10062","false","36340","false","334684i3655","true"
"1203","10062","false","36340","false","336843655","true"
"1204","10062","false","36340","false","346843655","true"
"1205","10062","false","36340","false","334k6843655","true"
"1207","10062","false","36340","false","336843655","true"
"1210","10065","false","35010","false","563297100","true"
"1213","10065","false","35010","false","563297100","true"
"1218","10065","false","35010","false","256329710u0","true"
"1220","10065","false","35010","false","253297100","true"
"1223","10065","false","35010","false","256s3297100","true"
"1228","10065","false","35010","false","256329v7100","true"
"1229","10065","false","35010","false","563297100","true"
"1239","10066","false","36442","false","348583287","true"
"1252","10066","false","36442","false","3o348583287","true"
"1254","10066","false","36442","false","3348583h287","true"
"1258","10066","false","36442","false","334883287","true"
"1269","10069","false","36027","false","3c346887271","true"
"1270","10069","false","36027","false","334688771","true"
"1271","10069","false","36027","false","334688727o1","true"
"1279","10069","false","36027","false","t3346887271","true"
"1281","10069","false","36027","false","334887271","true"
"1285","10073","false","36251","false","25635421g31","true"
"1289","10073","false","36251","false","25635421u31","true"
"1290","10073","false","36251","false","256t3542131","true"
"1293","10073","false","36251","false","2563542t131","true"
"1296","10073","false","36251","false","25t63542131","true"
"1298","10073","false","36251","false","256354211","true"
"1307","10073","false","36251","false","256354211","true"
"1314","10078","false","36207","false","25623b55121","true"
"1322","10078","false","36207","false","256235521","true"
"1324","10078","false","36207","false","562355121","true"
"1328","10078","false","36207","false","562355121","true"
"1340","10079","false","35611","false","562339292","true"
"1342","10079","false","35611","false","256239292","true"
"1343","10079","false","35611","false","25q62339292","true"
"1344","10079","false","35611","false","2562339k292","true"
"1355","10079","false","35611","false","262339292","true"
"1370","10083","false","36535","false","259523400","true"
"1375","10083","false","36535","false","251953400","true"
"1376","10083","false","36535","false","259523400","true"
"1378","10083","false","36535","false","251a9523400","true"
"1379","10083","false","36535","false","251952400","true"
"1381","10083","false","36535","false","2519523p400","true"
"1382","10083","false","36535","false","251953400","true"
"1383","10083","false","36535","false","2519523c400","true"
"1387","10085","false","35609","false","256341200","true"
"1388","10085","false","35609","false","256r3412000","true"
"1391","10085","false","35609","false","n2563412000","true"
"1394","10085","false","35609","false","2563412000***","true"
"1395","10085","false","35609","false","256312000","true"
"1396","10085","false","35609","false","256s3412000","true"
"1404","10085","false","35609","false","25j63412000","true"
"1405","10085","false","35609","false","256341200z0","true"
"1430","10089","false","35502","false","2053874000***","true"
"1431","10089","false","35502","false","205387400","true"
"1432","10089","false","35502","false","2053874000***","true"
"1433","10089","false","35502","false","2d053874000","true"
"1636","10101","false","35161","false","256761442","true"
"1442","10089","false","35502","false","205384000","true"
"1444","10089","false","35502","false","0253874000","true"
"1456","10090","false","36608","false","y2516331000","true"
"1464","10090","false","36608","false","g2516331000","true"
"1466","10090","false","36608","false","516331000","true"
"1468","10090","false","36608","false","251633100","true"
"1473","10091","false","36451","false","2512753k191","true"
"1475","10091","false","36451","false","251275311","true"
"1476","10091","false","36451","false","2b512753191","true"
"1479","10091","false","36451","false","25127p53191","true"
"1482","10091","false","36451","false","252753191","true"
"1483","10091","false","36451","false","251m2753191","true"
"1488","10091","false","36451","false","512753191","true"
"1586","10099","false","36426","false","25s18678061","true"
"1490","10091","false","36451","false","512753191","true"
"1491","10091","false","36451","false","252753191","true"
"1494","10091","false","36451","false","251275319f1","true"
"1501","10092","false","35401","false","205759711","true"
"1503","10092","false","35401","false","2057q597111","true"
"1507","10092","false","35401","false","207597111","true"
"1515","10092","false","35401","false","205797111","true"
"1518","10092","false","35401","false","205759111","true"
"1522","10095","false","36744","false","336243024","true"
"1527","10095","false","36744","false","3p346243024","true"
"1528","10095","false","36744","false","3w346243024","true"
"1530","10095","false","36744","false","346243024","true"
"1611","10100","false","36532","false","25b19282375","true"
"1540","10095","false","36744","false","33s46243024","true"
"1550","10097","false","36092","false","334574311","true"
"1552","10097","false","36092","false","334567431t1","true"
"1555","10097","false","36092","false","3345674311***","true"
"1559","10097","false","36092","false","345674311","true"
"1560","10097","false","36092","false","334674311","true"
"1561","10097","false","36092","false","e3345674311","true"
"1562","10097","false","36092","false","d3345674311","true"
"1565","10097","false","36092","false","334674311","true"
"1568","10097","false","36092","false","33456n74311","true"
"1569","10097","false","36092","false","33v45674311","true"
"1573","10099","false","36426","false","251867n8061","true"
"1576","10099","false","36426","false","251678061","true"
"1581","10099","false","36426","false","v2518678061","true"
"1587","10099","false","36426","false","25186780d61","true"
"1593","10099","false","36426","false","251867t8061","true"
"1602","10100","false","36532","false","251928375","true"
"1608","10100","false","36532","false","25g19282375","true"
"1609","10100","false","36532","false","2519d282375","true"
"1617","10100","false","36532","false","25192823q75","true"
"1618","10100","false","36532","false","251928275","true"
"1619","10100","false","36532","false","251928275","true"
"1624","10101","false","35161","false","25j67614542","true"
"1625","10101","false","35161","false","k2567614542","true"
"1630","10101","false","35161","false","256761r4542","true"
"1631","10101","false","35161","false","256614542","true"
"1637","10101","false","35161","false","256761442","true"
"1639","10101","false","35161","false","2c567614542","true"
"1644","10101","false","35161","false","256614542","true"
"1655","10102","false","36726","false","s3346824131","true"
