RecID,attrNr,label,exists-1,exists-2,exists-3,exists-4,exists-5
1,11,0,0,0,0,0,0
10,5,0,0,0,1,1,0
10000,13,0,0,0,0,0,0
10010,8,0,1,0,0,0,0
10012,4,0,0,0,0,0,0
10013,14,0,1,0,0,0,0
10019,2,0,0,0,0,0,0
10021,3,0,0,0,0,0,0
10024,4,0,0,0,0,1,0
10026,3,0,0,0,0,0,0
10026,8,0,1,0,0,0,0
1003,10,0,0,0,1,1,0
10033,8,0,1,0,0,0,0
10039,3,0,0,0,0,0,0
10053,10,0,0,0,0,0,0
10054,13,0,0,0,0,0,0
10056,9,0,0,0,0,0,0
10058,2,0,0,0,0,0,0
10060,5,0,0,0,1,0,0
10065,7,0,0,0,0,0,0
10078,10,0,0,0,0,0,0
10079,13,0,0,0,0,0,0
10079,8,0,1,0,0,0,0
1008,10,0,0,0,0,0,0
10081,10,0,0,0,0,0,0
10082,4,0,0,0,0,0,0
10082,9,0,0,0,0,0,0
10084,11,0,0,0,0,0,0
10084,7,0,0,0,0,0,0
10085,8,0,1,0,0,0,0
10087,14,0,1,0,0,0,0
10089,11,0,0,0,0,0,0
10094,2,0,0,0,0,0,0
10095,6,0,0,0,0,0,0
10097,7,0,0,0,0,0,0
10098,12,0,0,0,0,0,0
101,6,0,0,0,1,0,0
10102,13,0,0,0,0,0,0
10105,8,0,1,0,0,0,0
10110,8,0,1,0,0,0,0
10112,10,0,0,0,0,0,0
10113,11,0,0,0,0,0,0
1012,12,0,0,0,0,0,0
10121,10,0,0,0,0,0,0
10125,8,0,1,0,0,0,0
10126,9,0,0,0,1,0,0
10128,14,0,1,0,0,0,0
10128,3,0,0,0,0,0,0
10130,14,0,1,0,0,0,0
10132,5,0,0,0,0,0,0
10134,12,0,0,0,0,0,0
10134,14,0,1,0,0,0,0
10137,12,0,0,0,0,0,0
10140,9,0,0,0,0,0,0
10147,6,0,0,0,0,0,0
10149,6,0,0,0,0,0,0
10150,2,0,0,0,0,0,0
10152,4,0,0,0,0,0,0
10154,4,0,0,0,0,0,0
10155,10,0,0,0,0,0,0
10155,4,0,0,0,0,0,0
10155,8,0,1,0,0,0,0
10161,8,0,1,0,0,0,0
10165,5,0,0,0,1,1,0
10167,4,0,0,0,0,0,0
10173,3,0,0,0,0,0,0
10176,2,0,0,0,0,0,0
10180,12,0,0,0,0,0,0
10182,7,0,0,0,0,0,0
10184,8,0,1,0,0,0,0
10184,9,0,0,0,0,0,0
10192,6,0,0,0,1,0,0
10194,7,0,0,0,0,0,0
10195,14,0,1,0,0,0,0
1020,3,0,0,0,0,0,0
1020,8,0,1,0,0,0,0
10201,2,0,0,0,0,0,0
10203,9,0,0,0,0,0,0
10206,9,0,0,0,0,0,0
10207,4,0,0,0,0,0,0
10223,11,0,0,0,0,0,0
10238,8,0,1,0,0,0,0
10255,14,0,1,0,0,0,0
10256,5,0,0,0,0,0,0
1026,4,0,0,0,0,0,0
1026,7,0,0,0,0,0,0
1026,9,0,0,0,0,0,0
10267,3,0,0,0,0,0,0
10270,7,0,0,0,0,0,0
10271,10,0,0,0,1,0,0
10271,14,0,1,0,0,0,0
10272,12,0,0,0,0,0,0
10274,9,0,0,0,1,1,0
10275,6,0,0,0,0,0,0
10286,6,0,0,0,0,0,0
10288,11,0,0,0,0,0,0
10288,4,0,0,0,0,0,0
10288,6,0,0,0,0,0,0
10296,14,0,1,0,0,0,0
10297,11,0,0,0,0,0,0
10299,14,0,1,0,0,0,0
10299,9,0,0,0,0,0,0
1030,5,0,0,0,0,0,0
10303,10,0,0,0,0,0,0
10304,5,0,0,0,0,0,0
10306,3,0,0,0,0,0,0
10322,10,0,0,0,0,0,0
10324,3,0,0,0,0,0,0
10325,10,0,0,0,0,0,0
1033,9,1,0,0,1,1,0
1034,12,0,0,0,0,0,0
10343,14,0,1,0,0,0,0
10347,2,0,0,0,0,0,0
10348,9,0,0,0,1,0,0
10350,12,0,0,0,0,0,0
10351,3,0,0,0,0,0,0
1036,5,0,0,0,0,0,0
10361,4,0,0,0,0,0,0
10363,9,0,0,0,0,0,0
10367,13,0,0,0,0,0,0
10370,3,0,0,0,0,0,0
10375,3,0,0,0,0,0,0
10376,5,1,0,0,0,0,0
10376,6,0,0,0,0,0,0
10379,11,0,0,0,0,0,0
10379,9,0,0,0,0,0,0
10381,3,0,0,0,0,0,0
10386,2,0,0,0,0,0,0
10387,10,0,0,0,0,0,0
10388,6,0,0,0,0,0,0
10395,14,0,1,0,0,0,0
10396,11,0,0,0,0,0,0
10398,7,0,0,0,0,0,0
10399,11,0,0,0,0,0,0
10407,4,0,0,0,0,0,0
10409,7,0,0,0,0,0,0
1042,10,0,0,0,0,0,0
10423,14,0,1,0,0,0,0
10424,12,0,0,0,0,0,0
10426,8,0,1,0,0,0,0
10429,8,0,1,0,0,0,0
1043,8,0,1,0,0,0,0
10431,5,0,0,0,0,0,0
10433,13,0,0,0,0,0,0
10433,8,0,1,0,0,0,0
10437,2,0,0,0,0,0,0
10438,8,0,1,0,0,0,0
1044,11,0,0,0,0,0,0
10440,4,0,0,0,0,0,0
10440,7,0,0,0,0,0,0
10444,2,0,0,0,0,0,0
1045,2,0,0,0,1,0,0
10452,12,0,0,0,0,0,0
10452,3,0,0,0,0,0,0
10455,8,0,1,0,0,0,0
10456,4,0,0,0,0,0,0
10456,5,1,0,0,0,0,0
10458,5,1,0,0,0,0,0
10460,11,0,0,0,0,0,0
10460,9,0,0,0,0,0,0
10462,6,0,0,0,0,0,0
10463,13,0,0,0,0,0,0
10468,11,0,0,0,0,0,0
10478,13,0,0,0,0,0,0
10480,8,0,1,0,0,0,0
10481,3,0,0,0,0,0,0
10487,14,0,1,0,0,0,0
10490,4,0,0,0,0,0,0
10493,13,0,0,0,0,0,0
10494,13,0,0,0,0,0,0
10495,8,0,1,0,0,0,0
10496,11,0,0,0,0,0,0
10499,2,0,0,0,0,0,0
10499,9,0,0,0,0,0,0
10506,4,0,0,0,0,0,0
10524,10,0,0,0,0,0,0
10525,11,0,0,0,0,0,0
10525,8,0,1,0,0,0,0
10526,8,0,1,0,0,0,0
10530,8,0,1,0,0,0,0
10532,9,0,0,0,0,0,0
10534,4,0,0,0,0,0,0
10538,2,0,0,0,0,0,0
